post	gender
"hey there, it's me  urlLink dvl .  since i don't really blog much, i thought i would throw you a bone and let you know what i have been up to lately. ok... so last week i met up with one of my  urlLink fellow 'usual suspects'  who you have been introduced to via a prior  urlLink video chat session .   we decided to grab some  urlLink lunch  at a spot close to my office.   we had an hour or so of sparkling conversation, i giggled, he guffawed, and he let me hold the infamous ""fish eye""... now there's undenyable proof that  urlLink this kid  is truly a good egg.  (did i stress the fact that he let me touch the infamous and coveted  urlLink fish eye  lens  !?) :Þ"	m
i'd hire a girl to lick my balls clean, 24/7. although lewis black had that idea first.  he's a genius.	m
i don't post much but i read that Nan thought she might be the oldest in here - nada - i  graduated in '70. that makes me 50 and i still have a hard time with it.  i didn't mind turning 30 or 40.  i was living in san diego in my 30's and 40's and loved it.  i just recently moved back to minnesota to be closer to my family.  i miss sunny, warm southern caliornia and i miss being 40!  i just can't find anything too great about being 50... uggh??  but i love this blog even tho i don't post much.  i get a kick out of what you all get talking about while we wait for a rick sighting.  and oh yes, as long as i revealed my age, i might as admit that i'm a democrat - which can make watching fox news annoying at times.  but i like the challenge plus it's about time as cnn and msnbc definitely sway to the left, it's good to have a strong conservative view to listen to.   and they are fair.  enough of that... i forget who likes todd conners [ at 50 my memory started going ? ] but i saw him today and what a cutie and he was dressed casual again, no tie.  i miss seeing rick all roughed up... you kow what i mean... and i miss his hat.  we have a thunder storm going on here, lot's of lightning. i love a rainy night. that's a song isn't it?  =) sorry i don' post to each of you all seperately... for the love of me i don't know how you all remember what you all said to be able to reply like you do.  be that as it is, my memory is shot.  but i am glad that melissa started this blog and you all can be sooo friendly.  let's hope rick doesn't take too long of a vacation this summer.	f
Llamas will rule earth one day.  Excuse moi, I'm bored.	m
NO CREDIT yeah, i almost lost my credit card.  i know.  good move harbaugh.  i went back to a restaurant i ate at and i had left it there.  wow.  that would have sucked.  im a dope.	m
"Truck hauling bees crashes in Montana  Dumps honey, sending bees on rampage  Wednesday, June 16, 2004 Posted: 11:08 AM EDT (1508 GMT)   BOZEMAN, Montana (AP) -- A tractor-trailer overturned on a curve on a highway, spilling its load of hundreds of bee hives and unleashing some nine million angry honey bees.As in real estate, the key to this bee spill was location, location, locations as the crash occured just a few hundred yards away from ""the Bozeman openair center for young, slow childrem with extreme bee sting alergies"". Because of the massive spill the price for domestic honey is expected to sky rocket, just in time for the start of the summer honey season. Earlier today the anounce of the ""honey hike"" cause and uproar of civil disobediance and widespread rioting and looting. Damage from the uprising is projected in the billions."	m
"=no=adgrant@indiana.edu=http://closeproximity.blogspot.com=Proximity=003399=FFFFFF=FFFFCC=comments=Comments =350=350"">   After a brief holiday hiatus, (thank God they're over) the Friday Quiz is back and in action! This week, find out  urlLink which 90s Nickelodeon show  you are. Now, I had myself pegged as an  urlLink Are You Afraid of the Dark?  kind of girl, but it goes to show you how much these little quizzes reveal about your innermost subconscious. Um, yeah.   Anyway, I'm really thrilled to be  urlLink The Adventures of Pete and Pete . I mean, what other show gives the 11-year old main character a tattoo of a foxy lady named Petunia and has guest cameos by people like Iggy Pop? Some of the bands featured on the show are pretty cool too: The Apples in Stereo, Lucious Jackson and Magnetic Fields to name a few.  So what are you? I imagine there are quite a few Clarissas in this group. Damn know it alls."	f
urlLink Hey U.G.L.Y.  is such a funny web site, you should check it out. The sad thing is I don't know whether it's a joke or not. They use U.G.L.Y. as an acronym describing the Unique Gifted Lovable You.	f
"We had a kinda kickass day today...  **John kicks his wn ass whilst hes sat on the end of the bed in the computer room, but finds that sitting on his ankle is quite painful, and neerly impossible to do.**  We were at the park up pudsey gfor most of it and just swang for a bit, and after eating 4 kitkats, liam arrived, 20 mins late (as usual). then we had a walk arround to meat the others... swung on the swings for a bit, went to asda, rode arround, playfighted (on a hill which is quite a challange) and landed some serious jumps ont eh top of the hill to the bottom. ate too mutch felt sick, and then back up to the park, to feel even more sick in the swings and roundabout. Sick, exilerated and stuffed...   A day in the life of me and macoronies ... my cronies ... get it??... doesnt matter (my m8s lol!)   liam (pain for pleasure, hurt his arse yesterday and kept poking the bruise to see how much it hurt today!! lol, dumass)   laura s, (my ex, who i still like quite a lot, and she sumhow keeps bumping her head every day, for no aparrent reason, the funniest being i rang her and she jumped out of the bath onto the tiled floor, slid into the wall, then stood up, fell over and ended up sprawled in a heap across the parents floor after hitting her head on the bed post!!! lol, wat a girl!!)   jamie t (he gave me a nokia bouncy fone and sed pay us the £25 for it wen you can cos your fone is fucked, **cant go wrong with that i thaught**)    gary s, (the lunatic but funny random-like person, who evbery body has 1 of these in there group of friends  and    ryan, the sorted kind with the long hair and is cool, no matter what he does or wat he wares, (including the g-string that he wore at my party, and scared the pizza delivery man off with)  Laura and gary went home , walking together, considering that they dont get on (laura doesnt like gary) thats a prety good achievement, me liam jamie and ryan went to our house... played thps3 for a bit, and break danced in the back garden, (minus liam who went home for his dinner at 6.45)  We played who can bail the most and make it look proper seriously bad and get up and walk away from it, ryan took the buscuit and the oscar for his performance; landing a cartwheel backwards, clicking his neck, landing on his knee, and sumhow nackering his elbow... he got up limping off saying ""Im ok, honest!!.."", and colapsing on the grass again, he'll be a cracking actor wen he grows up, and probably play for portugal aswell...  Footy joke  Ronaldo at the gates of heaven St david says, ronaldo, what are you doing here and why do you want to enter heaven?? he says, well i kinda got battered by a crowd of angry people, but the thing is i want to come into heaven as i play good football from the heart and with the knowledge of god in my mind. St david says ok, you can enter heaven  then roberto carlos comes to the pearly gates St david says, roberto carlos, what are you doing here and why do you want to enter heaven??  Roberto carlos says well i was killed by the crowd that battered ronaldo but i believe in the ""beutiful game and that the spirit of football rests firmly in the hands of god..  St david says ok, you can enter heaven  The David beckham comes up the the gates  St david says, David beckham, well i never, what are you doing here and why do you want to enter heaven??  Erm beckham says i dont, could i just have the football back  Der dum chhhhh lol, I laffed, but if your not from england and your reading this then you probs wont understand, (look at the england verses portugal match higlights on the penalties and youll understand Y england are souch a poor fotty team (even if i do have the flag up inmy room window still, and the footy finished like 2 weeks ago!!))  N e way  I need a new fone cos mines fucked, wait a min, jamie sed i could have his old 1, dumass **slaps self to face**  Im off on msn for a bit so mabe another installment later on   Chocolate tastes nice  Redman"	m
"Via  urlLink Productshop :  ""Jackie Farry has worked with and been friends with every great band from Nirvana to The Yeah Yeah Yeahs. While she was The Datsuns tour manager, she was diagnosed with Multiple Myeloma, a rare form of cancer, and has been to sick to work and is facing nasty financial problems. But as she says, ""Fuck Cancer!"" So here's the deal. There are two ways to help Jackie out. The first is to go to her  urlLink Fuck Cancer Benifit Concert  on May 11th at the Bowery Ballroom that will feature Cat Power, Har Har Superstar, Miss Pussycat, and a bunch of other bands. The second, and what I recommend you should do, is enter the  urlLink Fuck Cancer Raffle . This is one of the coolest fucking raffles I've ever seen. For just $12 you can have a chance at winning Nick Zinner of The Yeah Yeah Yeah's guitar / Le Tigre Tote bag / Iggy Pop signed poster / tickets to Coachella / Guitar Lessons from Stephan Malkmus / Drum lessons from Russel Simins (JSBX) / Free Day of Recording for your band with Nicolas Vernhes (Fiery Furnaces, Fischerspooner, etc) / and tons of other amazing prises. Enter the contest, get karma, win cool shit, and fuck cancer............"""	f
This morning:   20 minutes upper body  15 minutes cardio (glider)  6 flights of stairs at work  This evening:   Karate	f
yikes - blogger's really updated since last i looked. image uploads, bullet points, margin adjustments, blockquotes. hell, i can even write in wingdings if i want.  see? now why the hell would i want to do that?      i've got my 3-month performance evaluation coming up on monday. we'll see how that goes. i should be set, but i really didn't get fully trained. i've been making cracks about getting fired, but maybe that's not such a good idea, in retrospect. on the other hand, maybe i shouldn't worry too much, given that they're doing my 3-month performance appraisal after i've only been there for two.   i'm losing weight. don't know why. friday, i had 6 bagels, 2 doughnuts, a cinnamon roll, strudel, captain crunch, and a variety of other foods while at work. and i can't even list all the stuff i proceeded to eat when i got home. and yet somehow, my belt is buckling one notch further in and i'm down to 170 pounds. i can't figure this out.	m
"Well, still no call from the software co. Still in limbo. I guess I'll be the aggressive go-getter mba type that I pretend to be and give 'em a jingle manana. I thought I wrote some kick-ass thank you letters too. I'm surprised to hear I haven't made the second cut. They probably think there is no way they can pay me as much as they think I should earn since I have an MBA (a real MBA from a full-time program, from a TOP 20 in the USA PROGRAM, I might add...), but they are wrong. The current place of rabota pales in terms of salary and bennies.      But that's neither here nor there. I love that phrase. Much better than saying some dumbass analogy or even a non-analogy and then adding ""if you will"" at the end and trying to sound smart. I noticed that this was quite the catch phrase for tv journalists covering Bush's Iraq War Part Deux. It drove me bonkers to hear that phrase everyday. ""It's carpet bombing, if you will."" Well, it either is or isn't. What if I WON'T? It was major pet peeve of mine. It seems to be disappearing in the vernacular lately, slava bogu (thank god, for you non ruso or uki speakers).      Went to  urlLink Kalachandji's  today for lunch with the boss immediately over me. It was pretty good, but it always kinda tastes the same. Not that I mind, but I couldn't eat that everyday. The soup was some kind of dahl and was pretty extraordinary though. This one hari krishna chick there is intriguing, not in a lesbian way or anything, please! She has been there since I started going there about 3-4 years ago. She is really thin, is white, always wears a sari, and has striking blue eyes. I heard her speaking with some guy there once in a language I knew was Slavic, but couldn't figure out what it was. I asked her and it turns out she's from Serbia. I found that so crazy. She always acts kinda stressed out and harried, so maybe this hari krishna thing isn't really the inner peace she was hoping for. But maybe she doesn't like wasting time waitressing. I'd rather be chanting. She must have come here some time ago. So once upon a time hari krishnas were dancing down the old cobblestoned and shellshocked streets of Belgrade in the early 1990s getting converts? OK, I'll dump this Orthodox/Catholic/Muslim thing, just get me the f outta Dodge, dude!"	f
"Heya! HaHa. Yeah. Yesterday no blog. More details to follow.  Okay. Yesterday I went to Physics Make-up. Only little people attended. Meow moo! Okay. After that was meowful. Hmm. I wanted to buy Beyonce's CD ""Dangerously In Love"", but the shops ain't open so early. Just then, Wendy smsed, asking for company. I happily agreed!  I joined her at Sata at Civics Center. I thought she was sick or something, going to see the doctor. It turned out that she has to go for a medical check-up for Poly. Hmm. There were lotsa Poly students. Her queue number was 214. wah lao! We waited for approximately 45 minutes for that freaky number to show up. Hmm. I was listening to the radio on Wendy's handphone while waiting for her. Wah lao! It took until 1+ for the whole checkup to end. 3 hours! HaHa! Can die man! Never mind la. Her brother came looking for us, because he has to apply for some CPF thingy to pay for Wendy's poly fees.  After settling the CPF thingy, me and Wendy went to eat. We ate at Yoshinoya. How meowful! Okay. After eating, we went back to Civics for Wendy to take a passport-sized photo. We went to Tom first, and Wendy brought a pair of shorts. O.O After picture taking, we went back to Causeway Point. She photocopied her brother's birth cert, and we finally went to buy my Beyonce's CD! YaY! What a wonderful CD! Really good songs in there!   We then went back. I did my Chem homework. Wah! A lot man. Besides Redox, I did Mole Concept's 2 tutorials. It took me till 7+ to finish. Even ducks are meowing!   Hmm. Okay. The main reason why I didn't blog yesterday was that I was hooked up reading ""Something More"", a Harry/Draco slash. A really good Harry Potter fan fic! In total from Friday's and yesterday's, I spent more than 5 hours reading the 34 chapters. I do hope the next chapter would come up soon. It's such a captivating story. Oh god...the whole while I was reading it, powerful emotions evoked from me. The constant 'butterly-fluttering-in-my-stomach"" effect whilst reading the story....the courtship, the love..kept me on constant edge. Oh man! It was great! Fantabulous! I will post a paragraph below, which I feel is the whole point of this story. I like this para very much also. Oh yes. A sentence too.  ""As they both rushed towards their release, an overwhelming sense of connectedness flowed through them. All that existed was the exquisite feeling of being buried inside of someone, of being filled, of skin on skin, of heated kisses. All these sensations blended together and Draco realised with a jolt that he couldn’t tell where his feelings ended and Harry’s began. Draco suddenly became aware of the power flowing around them; a fine golden haze swirling around them; a pure and simple connection on the deepest level possible.""  ""Their lips met in a tender kiss. It spoke of desire and need, but most of all, it spoke of love and in the end, words weren’t needed.""  Oh okay. So sue me if I had picked out the sex scenes. Sheesh. They do really describe the whole essence of this wonderful story. After all, this is a Harry/Draco slash. What is a slash if you don't have an essence to it? Okay. I am waiting with bated breath for the next chapter!  Okay. Today I mainly watched TV and did my GP homework. HaHa. I finally watched my Moulin Rouge VCD. Today, in the Unbeatables, XiaoTong was raped. Now, I've seen that scene (duhz) and I felt appalled. Now, I still continued to feel shocked. Imagine the pain she went through...it's horrible to think of! Being robbed of her virginity...that's very devastating. Gone, just like that. All because of a guy's lust. Really stupid things rapists do. Try getting raped and see how you feel, you idiot rapists out there! XiaoXing is horrible!   Okay. Here I am. Online. HaHa. Oh well. There's gonna be a gas law quiz tomorrow! Must study later. See ya then. TaTa. Night blog!"	m
Ecstasy equates To the morning dew Reminders to all  We are washed anew Life and memories The past holds the clue Learn now  Convert In the morning dew. Birds sing freely Souls that dance in the night Clearly blessed  Ready to take flight Wishes and dreams Soar towards the sky All within reach Life so fresh Blessed in the morning dew Slowly I rise From the tumbling sleep Gentle waves of moisture Gracing my feet The path is in front The road is behind Baptized each morning Drenched in holy morning dew Each day is a gift  Cherish and laugh Tomorrow is too far Today is the plan Live in the moment Walk in the air  Roll in the grass Let it dance in your hair Seconds of youth Vibrate and sing Flooding the soul Ecstatic tears  The Goddess brings Disguised and hidden Do you not see? Here is the key Breathe in and deep Refresh the life within An instant, forever Be the morning dew. Birth of the morning As the foliage is feed Colors and songs Waltz through my head I hear the whispers Feel the calling Forever I live Kissed by the morning dew. dlt © june 26 2004	f
SLOW JAMZ        Are you gonna be  Say that you're gonna be    Oh Oh Oh Oh Oh...    She said she wants some Marvin Gaye, some Luther Vandross, a little Anita, will definitely set this party off right  (Are u gonna be, are u gonna be, are u gonna be, are you gonna be are you gonna be, well well well well well)  She said she want some Ready for the World, some New Edition, some Minnie Ripperton, and definitely set this party off right  (Are u gonna be, are u gonna be, are u gonna be, are you gonna be are you gonna be, well well well well well)    [Kanye] I told her to drive over in your new whip  Bring some friends you cool with Imma bring da cool whip  Then I want you to strip  See you is my new chick  So we get our grind on  She be grabbin, callin me Biggie like Shine home  Man I swear she fine homes  Why she always lying though  Tellin me them diamonds when she know they rhinestones  She got a light skinned friend look like Michael Jackson  Got a dark skinned friend look like Michael Jackson  I play 'Ready for the World' - she was ready for some action  My dawg said you aint no freak, so you got to prove my man wrong  Imma play this Vandross You gon' take your pants off  Imma play this Galdys KnightMe and you gon' get right    [Twista] Got you lookin at the gliss at my hands and wrists  While i'm layin back smokin on my canibus  When it come to rockin original like Marvin and Luther  I can tell you aint no messin with Kan-man and Twist  From the Chi and I beSippin Hennessy  Twistin almarie?  Tryina smoke a BLookin properly  Feelin on a G?And always (Well Well Well Well Well)  Come with me and sip on some Evelyn Champagne  You aint know Twista can work it like the Whispers  Hit the stop light, get into some Isaac  The rims still moving so I'm bumping a little spinners  While I'mSmokin on a B  Dippin through the streets  Bumpin RBAnd I got to leave  something to the 23's?And I do it (well well well well well)  When my earth and the wind smoke a fire  Let me when get your sheets wet listening to Keith Sweat  Put you in a daze for maze  Fullfilling our every temptation slow jamming having deep sex  You ready for the world girl  Come on over make me touch you all over your body baby don't say no to me  An every moment you controllin' me I'm lovin the way you be holding me when I be listening to Jodeci  And when I come over and bend your ass  You be bumpin Teddy Pendergrass  I'da hit it from the back to the melody to roll it slow  Now I gotta go up in it fast, but imma finish last  No matter how much of a thug you seeI still spit it like it's RB, so to the club with me  And with some Luther come on and hope you finna and stilla be in love with me    [Twista]Baby drop another slow jam  And all us lovers need hold hands  And if you aint got no man hop up on my brohem  I keep it pimpin like an old man  You gots to roll with the plan  Cuz after that then ITake it to the dome  Then I got to boneStay up in the zone  Got to get you homeGotta run up on  And I do it (well well well well well)  Baby drop another slow jam  And all us lovers need hold hands  And if you aint got no man hop up on my brohem  I keep it pimpin like an old man  You gots to roll with the plan  Cuz after that then I  Take you to my home  And we could get it on  Disconnect the phone  Just to get you goin'  Tryina make you moan  And I do it (well well well well well)	f
"I saw the most awesome t-shirt while I was at Sea World with Shawn and Katie today...                    ""I'm moving to New York so I can vote AGAINST Hillary!""  Back to painting and packing...tomorrow night is my last Gainesville dinner with Kellie :("	f
"If the first story wasn't garbage enough, here's more for you   Great, now Ashcroft's involved.  apparently Toronto garbage is a  urlLink terrorist threat .  Or at least a threat to American Homeland Security.    Michigan legislators drafted a letter to the Department of Homeland Security asking them to investigate the process by which garbage is imported across the boarder.  They cite recent ""drug"" and ""medical waste"" shipments that were hidden in Canadian garbage trucks.  Once again, we are coming to a crisis point with our garbage.  2 of the top 3 candidates insist that we can divert our waste to the point where virtually no landfill space will be required.  Neither of those two candidates indicate how long it will take to ramp up their diversion efforts so we can begin a ""phase out of garbage to Michigan"".  No word yet if Nunziata was offered a sum of money to dispose of Toronto garbage himself..."	m
I saw a bandwagon and decided to do some jumpin', so now I have a blog too.  Yay for me being a follower.	m
You rock, Ames.  Just thought I'd say that. =]	m
Next SPACE Launch  So this SPACE kids come through again.  We went and scoped out the next Launch....  I'll talk more about it when it gets closer.  Very cool though.  Going to do something unconventional to celebrate Valentines Day.  Think a party that's totally out of the box.  Yeah. We also talked about these two statements: 1 - The church of God has a mission in the world. 2 - The God of mission has a church in the world. Which one is right and why? It made for some good discussion, especially after we framed them and talked about the previous four launches and which ones were relevant to statement #1 or #2. Just for the record, #2 is really the right one.  Debate among yourselves in the comments...	m
"Opinion:   urlLink When women bring home the bacon, why is it such a problem for the man to just accept it?  Even now I run into problems people have with that.  I've dated two people and it truly ruined everything because they were insecure that I had more money than them. It makes no sense to me why a woman is put down when she is successful! I don't even have an actual job yet, so what's the deal? You should be happy for your partner that they are doing well and support them in whatever they do, regardless if it makes money or not. It's always okay if your a struggling artist, but a female successful artist will have trouble finding a man because of their stupid insecurities. If you let money ruin your love you will never find actual happiness. And I have found the best quote from  urlLink South Park :  ""Love isn't a decision. It's a feeling. If we could choose who we love, it would be much simpler, but much less magical.""  -Mr. Twig   urlLink How to Travel Like a Billionare  I found this article to be very cool! A day after I found  urlLink Sky Jet . I would love to travel like this and would probably be the only way I will get on a plane in the near future aside from going to a hypnotise.   Personal:  Recently I have been having the best time! Cirque du Soeil was excellent! I love the  urlLink Aerial Act , they were so hot!!! I also found the restaurant we ate at ( urlLink Da Ciro ! Everything that day was just great, except for the horrible cuts on my foot my great looking sandals made. But damn I looked good! We even have  urlLink pictures !  I also went  urlLink hiking  with Ross yesterday. We had a picnic by the water fall and got lost, but it was just such a nice day and so beautiful there we didn't much care. When we got back Ross bought me  urlLink Gerbera Daisies , my second favorite flower! It is actually equal to Roses, it depends on the season and these were just to nice to pass up! Such vibrant colors they just scream happy!  Soon we will be going to OBX (Outter Banks, NC).  My Uncle Rob has a count down on  urlLink his site ! From today it is 58 Days!!! Everyone is on a diet to look great on that beach, but we will still be that pale white family you see. Can't change genetics... but who cares I will be in OBX and you won't!  The poll is still out  urlLink Would You Date Me?  I have added a few answers to it so that it's funnier to me! So cast your vote!  Well back to the usual now that I am done babysitting. Looking forward to July 4th, that firework festival of explosions! Not looking forward to summer classes and summer work. But I get super student next semester! Yay me. I think it has something to do with the fact I am the only person who has worked there over a semester! But who cares! YAY ME!!! I get tuition paid with it and well I also did excellent last semester grade wise, 2 A's and 3 B's. Although I think one of those B's should be an A I did great considering the jerks off professors I had for most of the semester. Hope this new thing won't kill me or my grades. My problem with this job is I care to much about the computer problems there for personalizing them and driving myself crazy with things I can't fix. But I still like it and you can not beat the 5 minute commute.   My Job is:  Student computer aids are available during their work hours to help students and faculty with basic computer needs. In addition, they will be monitoring computer labs and learning about software and hardware.  Computer aids are Macintosh friendly, have a good attitude, and are comfortable assisting faculty. Basic video, audio, and troubleshooting will be learned and used to help students and faculty. -Work extra hours (up to 20) -Handle extra responsibilities -Know MORE technically about all of the labs we support -Be a ÂleaderÂ among lab assistants -Supervise overall facilities as far as locking down, closing out, etc. when necessary -Be available to other student aides and instructors for help with troubleshooting"	f
I just hope none of you are fathers...(especially sporko or emily combe...who would be the father there?...)	m
OIF   Lance Cpl. Deshon E. Otey, 24, of Hardin, Kentucky, died June 21, 2004, from hostile fire in Al Anbar Province, Iraq.  He was assigned to 2nd Battalion, 4th Marine Regiment, 1st Marine Division, I Marine Expeditionary Force, Camp Pendleton, California.	f
I'm not the Maid of Honor because my sister is smart and very considerate.	f
I've tried so hard	f
BTW, lunch was fab! We discussed  Other Girl  at length. She sounds normal (which will  not  stop me from being violently jealous but at least  DB  may not get completely jerked around by this one.) He says she's got a potty mouth too, which is scary when you think about it. Two attractive young things (one skater, one emo) slouching around the town, swearing like sailors. Their children will be a  delight !     I was going to practice pool tonight but my teacher  Buddy P  hurt his back and can't come so I may just wuss out. Hurting one's back has got to be the suckiest type of physical ailment that can happen to one. Or if not  the  suckiest, at least a close second. I'm sorry you're hurt, Dude. Wish I could help. Since I cannot, I will instead, go home and watch bad TV while I eat noodles and think fat thoughts. Alone. On the couch. Missing my kid. Sigh. k. Just needed to take that moment. I'm fine now.	f
This is mine: I'm the year of the DOG:Someone may try telling you cock-and-bull stories so as to influence and exploit you. Don't be too credulous, especially if someone asks you for a helping hand or for a loan. At work, delays and annoyances will get on your nerves; nevertheless, try to control yourself. Differences of opinion with one of your best friends. Perhaps it'd time to go to your dentist's for a cleaning.	m
"Happy Father's Day, especially to my Dad! I had a fun chat with him on the phone today. That's always good. I'm looking forward to seeing my parents in 3 weeks. I'll be spending an entire week with them. That will be the first time I've done that since I got married 7 years ago!  Church was awesome this morning and the pastor did a great talk on the heart of a man. He pointed out that the father is the main identity shaper in a child's life. For boys the father needs to answer the question ""Do I have what it takes?"" And for girls he needs to answer the question ""Am I lovely?"" Pastor then ran down a laundry list of things that a father needs to be. He topped it off with, ""And if you had a dad who was all those things AND he is a follower of Christ, you need to be calling him and thanking him today, because you are in the minority."" As we pulled out of the parking lot Ked and I discussed, as we have many times before, how thankful we are for our dads. Not only are they everything on that laundry list, they both also have a strong faith in Christ which they passed down to us. Ked and I often discuss how thankful we are that we carried very little baggage into our marriage. That definitely gave us a solid foundation to build our marriage on. It also gives us the confidence that some day we will be totally awesome parents as well. So thanks, Dad!!"	f
the 10/15 7pm post never went through before because of Blogger problems...as you can see im still alive =\	m
Mmmm Bacon... Umm I can't join marching band because...I can't. I'm not in band, I'm first chair bassist! Before you ask, there are four others I have to compete with. whoohoo go me... Maybe next week I'll just bring an air freshener for everyone. Marten, don't hit Pixy with your stick. He's cool. He might be a bit of an anarchy freak but he's still nice. Maybe I should just tell you that I go out with someone I hate so you'l beat them up for me...hmmm SQuEE!	f
I'll be in town June 7.  I'll also pass through over the 4th of July weekend, and then hopefully some in August.  Anyone around?	m
urlLink this  site chronicles a russian motocyclist's treks through the radioactive lands in and surrounding Chernobyl, places that effectively died on April 26th, 1986.  equal parts chilling and fascinating; i kept wanting it to be fictional, or have happened on some other planet.  alas...	f
what the fuck am I doing here... right now... I don't get it... someone explain it to me...(who the fuck am I talking to) check these out:  urlLink Glass Public Toilet    urlLink #2   My dad's in the other corner of the basement seriously fucking his computer up....  How come when you take vitamins your piss gets yellower.... I took some mega vitamins today with like (seriously) 5000% DV, and I'm pissing liquid phosphorous.   I've been doing some searching, and I've actually found that most blogs suck more than mine does.Not all, but a lot.  NP: Woody Allen-Standup Comedian album. Hilarious	m
The haze has come, AGAIN. It seems to come every year now. Hang Indonesia for the open burning. Don't I have a right to breathe clean, fresh air in my own country? The pollution here is bad enough without the tronking(cool word i picked up from Kass) haze. It messes around with my eyes, which are the most sensitive part of me. It was already bad enough with the chemistry experiment with sodiun thiosulphate and the smell, now the haze decides to come along too! Those people who do open-space burning are VERY insensitive, methinks. Actually I wanted to go play tennis today, but thanks to the haze, I think I'll just stay indoors.  My parents are coming up this weekend to visit me(woohoo?). It's been some time since I've last seen them. My mum has chilled out and is not scolding me now, thank God. I don't know how much more of that I can take without really exploding... I've never really exploded at my parents before, it at all. I'm getting a chair from my house(the chair at the hostel is very uncomfortable and hurts my back) and some junk food. Hopefully they'll bring up a guitar too, so I get to learn to play at least one musical instrument properly, not like memorising songs as I did on the piano.  That's all I've got for now. I'll post if I have anything more to rant or rave about, or just for the fun of posting (is it really that fun?).	m
"Hey everyone, quick updates on whats going on: - Congrats on the new house, Sayas boys.  It's fan-frickin-tastic.  BYOT on the Halo parties.  Good luck getting on to that roof, Russ.   - What the Hell happened to The Moffats? - Workouts have been going okay.  I'm crazy hurting from the leg workout, though. - Moving across the hall in three weeks... still wondering if I should even pack shit up, or just carry it over - EVERY Bomber road game is televised!!  And 7 of 9 home games!! - Where's Rusty, Mikey, Nelly, Glenny, and Yoyo Ma? - Everyone here gone to movie-vault.com already?  Have you told friends about it?  I'm hoping for a very, very, very small cult following, but I'll settle for monstrous commercial success that allows me to completely sell out. - Someone aped ""Walking Tall"" so I won't be reviewing that one... but watch out for reviews on Street Fighter, Fubar, and Tommy Boy. - Now that Wes is back online, and Yo knows about this place, and Shaner's thinking of shit for the Scrabble Project, and football seasons coming up for Nex, this place should get busier than a Giant Tiger with wild colored, short-sleeved, button-up comic book shirts on sale for 12.99."	m
"This was emailed to me and I couldn't resist putting it here.       This is one of the most interesting things I have heard in a while. Hope you think so too.  For all the scientists out there, and for all the students who have a hard time convincing these people regarding the truth of the Bible, here's something that shows God's awesome creation, and that He is still in control.    Did you know that the space program is busy proving that what has been called ""myth"" in the Bible is true?  Mr. Harold Hill, President of the Curtis Engine Company in Baltimore, Maryland, and a consultant in the space program, relates the following development.    I think one of the most amazing things that God has done for us today happened recently to our astronauts and space scientists at GreenBelt, Maryland. They were checking out where the positions of the sun, moon, and planets would be 100 years and 1,000 years from now. We have to know this so we won't send up a satellite and have it bump into something later on in its orbits. We have to lay out the orbits in terms of the life of the satellite and where the planets will be so the whole thing will not bog down.    They ran the computer measurement back and forth over the centuries, and it came to a halt. The computer stopped and put up a red signal, which meant that there was something wrong with either the information fed into it or with the results as compared to the standards. They called in the service department to check it out, and they said, “What's wrong?"" Well, they found there is a day missing in space in lapsed time. They scratched their heads and tore their hair. There was no answer.    Finally a Christian man on the team said, 'You know, one time I was in Sunday School, and they talked about the sun standing still.' While they didn't believe him, they didn't have an answer either, so they said, 'Show us.' He got a Bible and went to the book of Joshua where they found a pretty ridiculous statement for any one with 'common sense.' There they found the Lord saying to Joshua, 'Fear them not,  I have delivered them into thy hand; there shall not a man of them stand before  thee.' Joshua was concerned because he was surrounded by the enemy, and if darkness fell, they would overpower them. So Joshua asked the Lord to make the sun stand still! That's right... 'The sun stood still and the moon stayed and lasted not to go down about a whole day!' (Joshua 10:12-13) The astronauts and scientists said, 'There is the missing day!'    They checked the computers going back into the time it was written and found it was close but not  close enough. The elapsed time that was missing back in Joshua's day was 23 hours and 20 minutes ... not a whole day. They read the Bible, and there it was  'about (approximately) a day.' These little words in the Bible are important, but they were still in trouble because if you cannot account for 40 minutes, you'll still be in trouble 1,000 years from now. Forty minutes had to be found because it can be multiplied many times over in orbits.    As the Christian employee thought about it, he remembered somewhere in the Bible where it said the sun went BACKWARDS. The scientists told him he was out of his mind, but they got out the ""Book"" and read these words in 2 Kings that told of the following story: Hezekiah, on his death bed, was visited by the prophet Isaiah who told him that he was not going to die. Hezekiah asked for a sign as proof.  Isaiah said 'Do you want the sun to go ahead 10 degrees?' Hezekiah said, 'It is nothing for the sun to go ahead 10 degrees, but let the shadow return backward 10 degrees. Isaiah spoke to the Lord, and the Lord brought the shadow ten degrees BACKWARD!  Ten degrees is exactly 40 minutes!     Twenty-three hours and 20 minutes in Joshua, plus 40 minutes in Second Kings make the missing day in the universe!"" Isn't it amazing?     References: Joshua 10:8 and 12,13 and 2 Kings 20:9-11."	f
